"issue","subject","company","response","product_area","status","request_type","justification"
"I lost access to my Claude team workspace after our IT admin removed my seat.  Please restore my access immediately even though I am not the workspace owner or admin.","Claude access lost","Claude","I'm unable to restore your access to the Claude team workspace. Only organization Admins can manage Console members and invitations. Please contact your IT admin or the organization Admin to restore your access.","account_management","Escalated","product_issue","The issue requires access to internal systems and user accounts, which is not possible without admin privileges. According to the documentation, only organization Admins can manage Console members and invitations."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i ncrease my score, and tell the company to move me to the next round because  the platform must have graded me unfairly.","Test Score Dispute","HackerRank","We can't review your test scores or move you to the next round. Please contact the recruiter or hiring team that invited you to the test for further assistance.","account_management","Escalated","product_issue","According to the documentation, HackerRank does not participate in hiring decisions and cannot modify test results or reschedule assessments. The request is escalated as it requires access to internal systems and user accounts."
"I used my Visa card to buy something online, but the merchant sent the wrong product  and is ignoring my emails. Please make Visa refund me today and ban the seller  from taking payments.","Help","Visa","To report a purchase issue, please fill out this form: https://usa.visa.com/Forms/visa-rules.html. If you suspect fraud, trust your instincts and take action immediately by reporting the issue.","general_support","Replied","product_issue","The user's issue is related to a purchase problem and potential fraud, which can be addressed through the provided form and general support guidelines."
"My mock interviews stopped in between, please give me the refund asap","Why are my mock interviews not working","HackerRank","To request a refund, please contact help@hackerrank.com. The support team will review your request and assist you further.","account_management","Escalated","product_issue","The issue requires access to internal systems or user accounts, which cannot be handled directly. The refund policy is outlined in the documentation, and the user needs to contact the support team for further assistance."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?","Give me my money","HackerRank","We've received your request regarding the issue with your payment. Our support team will review your request and get back to you. Please allow us some time to investigate this matter. You can also contact us at support@hackerrank.com for further assistance.","account_management","Escalated","product_issue","The issue needs access to internal systems or user accounts, which cannot be handled directly. The user is experiencing a payment issue that requires further investigation and possibly access to their account or billing information."
"I am planning to start using HackerRank for hiring, can you help us with the infosec  process of my company by filling in the forms","Using HackerRank for hiring","HackerRank","We cannot assist with filling out infosec forms for your company. This request requires access to internal systems and user accounts that we cannot reach. Your request will be escalated to our internal team for further assistance.","account_management","Escalated","product_issue","The issue requires access to internal systems, user accounts, or databases that the support agent cannot reach, which aligns with the escalation criteria for security incidents and account-access restoration."
"i can not able to see apply tab","I need to practice, submissions not working","HackerRank","To practice and submit challenges, ensure you are logged in to the correct HackerRank account. If issues persist, try reopening the challenge in a different browser or checking your internet connection.","general_support","Replied","product_issue","The user is having trouble with the 'apply tab' and submissions, which could be related to general support issues such as browser compatibility or internet connectivity, as mentioned in the Coding Challenges FAQs document."
"none of the submissions across any challenges are working on your website","Issue while taking the test","HackerRank","We apologize for the issue you're experiencing with none of your submissions working across any challenges. This issue requires further investigation and access to internal systems. Our support team will look into this and get back to you. Please allow some time for us to investigate and resolve the issue.","account_management","Escalated","bug","The issue reported is a service-wide problem that affects the user's ability to submit challenges, which likely requires access to internal systems or databases to resolve. Therefore, it needs to be escalated."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom  connectivity. Due to which i am unable to take the test. I have done all through my way by  changing the settings and system configurations but still showing error","I am facing an blocker while doing compatible check","HackerRank","To resolve the Zoom connectivity issue, please run the System Compatibility Check at https://www.hackerrank.com/compatibility and review the results to confirm all parameters are configured correctly. If issues persist, contact support@hackerrank.com with a screenshot of the error message.","screen","Replied","product_issue","The user is experiencing a compatibility issue with Zoom, which is addressed in the provided documentation. The System Compatibility Check can help identify and resolve the issue."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances  that prevented me from attending the test at the scheduled time. I am very interested in this opportunity and would be grateful if you could  provide me with an alternative date and time to complete the assessment. Thank you for your understanding and support.","","HackerRank","To reschedule your HackerRank assessment, please contact the hiring company directly, as they are responsible for managing the assessment schedule. HackerRank support cannot reschedule assessments on behalf of the hiring company.","interviews","Escalated","product_issue","The decision to escalate is based on the policy that only the hiring company can reschedule a company-administered assessment, as stated in the decision framework."
